ConnectionId,TeamId,Name,Summary,LeadAccountId
1,17,"Abstract BE Team","","5c77a7d3efc9686293ac16b3"
1,71,"SmartShopper (RTL+WHS)","Microservice Applications","5dc4652b0056ad0df5525f39"
